Text	Label
Mình đã dùng anywhere thế_hệ đầu , quả_là đầy thất_vọng , hiện_tại đang vứt xó . Giá thì đắt , ngốn pin như ăn_gỏi , nặng	False
Quan_tâm nhất_là độ trễ có cao không , dùng thi_thoảng nó cứ trễ bực_mình , đấy mới chỉ là dùng văn_phòng chứ game thì chắc là ném đi từ lâu . Không biết con này có độ trễ không nhỉ . Dùng nhiều loại nhưng vẫn kết nhất con chuột sứ mitsumi , gọn bấm nảy tốt	False
dag xài con cùi bắp 98k ... . pin trâu , mỗi_tội đánh liên_minh ức_chế đập hết 2 con	False
logitech chắc hàng phải tiền triệu trở_lên dùng mới thích chứ em dùng con có 400k thấy được vài bữa là hư . chuyển sang eblue dùng được hơn năm chưa thấy hỏng .	False
﻿Đang xài con m_175 cùi mía , nhà xài nhiều chuột nên thử con này con kia chơi và kết_quả là sau 3 tháng và 4 con chuột khác_nhau đủ kiểu đa chức_năng mà h chỉ còn lại là con m_175 cùi mía còn xài dc : 3 h đi mua chuột là xác_định ko để mấy con nhân_viên vấy ngắn nó dụ nửa cứ logitech mà fan	False
Đang xài 2 con M185 , nút chuột giữa hai con đều như hạch . xài chưa được năm , scroll đã chạy bậy rồi . Hay mua phải đồ đểu hỉ ?	False
﻿Con Anywhere_1 mình dùng bị double click cũng 3 lần rồi ... chán lắm	False
Hàng cty cấp , cấp xong vứt ở nhà , xài con Xornet cho đỡ mỏi tay . Cơ_mà vẫn thắc_mắc là dong thấp nhất , nhưng éo bằng con misumi giá bằng 1/3 .	False
﻿Magic_mouse mà ngon hơn mới_lạ , Magic_mouse chỉ_được_cái đẹp , pin thì ăn 2 tuần hết , ko di trên mọi bề_mặt được bạn nhé , bảo_hành thì hãng bảo_hành 1 năm , còn Logitech thì năm nhé # # chuột này em đang dùng , chuột magic_mouse bỏ tủ	False
em giống y bác luôn , chán bluetooth kinh_hồn , 1tr7 mà em không tưởng_tượng được độ chuối của bluetooth	False
Mình cũng giật kinh_khủng , cảm_thấy hơi nản về cái bluetooth của nó ... . . đã cập_nhật El_Capitan mới nhất , lúc đầu ko bị , 1 thời_gian sau lại giật lại như_thường	False
Mình đã lên 10.11.3 nhưng vẫn bị , đúng là tắt wifi đi thì ngon hơn hẵn ... . . Chán vãi , mua em noá để khỏi dùng USB receiver , mà thấy cái bluetooth nản vãi	False
﻿10.11.3_mac 13 " 2015 mà ... ... . cảm_thấy chuột ko mượt ( khá là khó_chịu	False
di_chuyển chuột ko mượt bạn ơi . Còn cáo Scroll cũng thấy bt nhưng chả biết sao cảm_giác ko thích lắm . Mới_đầu test train win thì ok nhưng giờ về nhà cắm mac the xảy_ra mấy chi khi chịu thật .	False
﻿Cập_Nhật tình_hình sau khi đi bảo_hành về bên logitech thông_báo chuột bình_thường khi kết_nối bluetooth với mac_air . Mình mang mac_pro ra ngoài svhouse kết_nối vs bluetooth con mv_anywerè_2 thì vẫn có hiện_tượng lag ... ... giờ mang về xài tạm chứ chả biết giải_quyết sao luôn . Tính làm cái mail gửi svhouse để hối_thúc bên logitech mà chả biết thế_nào ... . . mấy bạn xài mac_pro_10.11.3 kết_nối bluetooth thì bt à ? ? ? Chắc kiếm chuột khác cắm test thử xem sao quá .	False
có ai mua con này dùng lúc rê nó bị đứt_quãng không , e dùng thấy bị khó_chịu quá , rê nó không được đều .	False
Vừa đi bảo_hành con này nút middle . Chuột logitech cao_cấp hình_như không tốt . Trước_đây xài con M905 cũng bị lỗi double click ko sửa được . Cũng may , Thành_Nhân đổi cho con mới . Giờ đến con này thì cũng bị lỗi . Cho do mình xui	False
chưa có cách khắc_phục nhé mang đem đi bảo_hành rồi mà vẫn bị chả hiểu sao logitech kêu xài bt ... . . thôi về cắm cái cục kia vô xài luôn cho lành . đồ rẻ rẻ thì ok đụng vô đát tí thì bị tè le	False
﻿Sao mình dùng nó lag vãi_linh_hồn luôn , chán thật 1tr8 bluetooth mà giờ đang dùng usb reciver . Mình dùng mac_pro 2015 13 ich , có cách nào khắc_phục không chứ bỏ tiền ra mua còn này để dùng bluetooth mà giờ xót quá	False
Khuyên các bác không nên mua chuột bluetooth , xài chán vãi , em cũng đang dùng con này nhưng không_bao_giờ dùng chức_năng bluethooth cả , lag lắm , xài mấy con bluethooth kể_cả magic mouse , chưa con nào ra_hồn , đến giờ này em vẫn không hiểu nổi tại_sao chuột bluetooth lại bèo vậy , vì về kỹ_thuật mà nói , băng_thông dư sức để làm chuyện đơn_giản này , ngay cả nhạc nhẽo còn truyền ngon_ơ cơ_mà .	False
Đã dùng thử em nó , cảm_giác không được hoàn_thiện lắm , nói_chung là next luôn	False
﻿đúng rồi , như apple có làm ra đc cái gì đâu , con A9_apple còn chôm của hội nghiên_cứu_sinh đại_học wicousin .	False
Con này nó ko có cổng âm_thanh muốn xuất ra chỉ có mỗi đường hdmi nhỉ . Cũng bất_tiện ở khoản đó	False
Kỷ_niệm tuổi_thơ tôi . Mỗi_tội đắt quá éo có tiền mua .	False
Ko thể cài thêm game mới là ko ổn rồi .	False
Ko có triển_vọng doanh_số bán rồi	False
cho 1 cái cục 30 game với giá 60 $ , không cài được game mới hoặc cắm băng cũ > hãng này tính troll fan của dòng này chắc : v . nếu đã sưu_tầm thì họ mua cái máy đời cũ cho_rồi ... dự là doanh_số thảm_hại cho xem	False
Mới không ra mới , cũ không ra cũ , dở_dở_ương_ương chẳng cảm_nhận được gì từ sản_phẩm này	False
đã nói sưu_tầm thì ng ta sưu_tầm cái máy cổ_lỗ_sĩ kia chứ chả ai dở_hơi đi mua máy này . mới chả ra mới , cũ chả ra cũ . tính ra thì thằng nintendo vụ này hút máu ng dùng còn gì .	False
không cài thêm được game , không cắm được băng ... thế_thì mua làm_gì nhỉ , trong khi máy cũ vẫn có ng bán . hàng tầu thì tràn_lan . giả_lập thì luôn sẵn_sàng .	False
Quá đắt cho 1 cuộc tình . Cái màn_hình chỉ đáng 200 $ . Nếu bỏ thêm tới 300 $ thì tôi kì_vọng phải có pin đủ xài 5 tiếng .	False
Bản_chất 2 vấn_đề này là khác_nhau . Apple thiết_kế sản_phẩm để ai cũng dùng được , còn Microsoft thiết_kế sản_phẩm để không ai thèm dùng .	False
Xbox thì thích mỗi cái gamepad của nó , còn lại vứt = ) ) Everything I do , I do on my PC	False
Thanks bạn vì bài chia_sẻ hay , tiếc là 90% số đó ko ứng_dụng ở cái vùng trũng công_nghệ của TG . Mình là người đã có lần hỏi bạn về cách ứng_dụng aw trong cuộc_sống để xem có nên mua hay ko . Câu trả_lời đến giờ vẫn là Không . Chờ_đợi sự đồng_bộ hạ_tầng ( bank , thanh_toán trực_tuyến ... ) hoặc chờ_đợi những chức_năng hợp_lý cho ng Việt ( camera , sim rời , pin lâu ... ) . Tks anyway	False
﻿toàn ba cái ứng_dung mang từ đt sang thì mua thêm cái này làm khỉ gì	False
vẫn không hiểu nhiều người cứ thích sw phải có sim rời để làm_gì , đưa đồng_hồ lên miệng là đã thấy dị rồi , chẳng thà mua cái đt cùi bắp 2 sim 2 sóng kiêm tai_nghe bluetooth luôn có phải ngon không	False
Bỏ ra 8-10tr để mua một sản_phẩm có_thể hữu_ích hoặc không hữu_ích . Dày gấp 3 lần , pin kém 2000 lần , giá gấp 2 lần đồng_hồ bình_thường .	False
Thật tiếc là đa_số những ứng_dụng trên đều không sử_dụng được hoặc chưa thật_sự hiểu quả tại Việt_Nam cơ_bản thì mình cũng có cùng quan_điểm với bác chủ topic về khái_niệm sử_dụng smartwatch vào thời_điểm hiện_tại . Trung_bình 300-400 $ là 1 khoản tiền k nhỏ , kiếm 300-400 $ tại Việt_Nam cũng k phải đơn_giản nhưng việc 1 người bỏ ra 300-400 $ để thoả_mãn đam_mê của mình thì ngay cả ở Việt_Nam cũng đâu phải_cái j đó quá khủng_khiếp . Mình thấy lạ là có rất nhiều người vào comment cái kiểu " chả để làm j " , " nâng bi " , " phí tiền " , ... Mình k nói bạn có tiền để mua hay k , nhưng đơn_giản là bạn vào đọc , k thk bạn có_thể đi ra và tìm 1 topic khác đúng sở thk của bạn . Bạn k cần phải thở ra những câu chả liên_quan kiểu như_vậy để người khác k mua giống mình cho đỡ cảm_thấy lạc_lõng vs xu_hướng của thế_giới	False
﻿bạn này nói là quên tiền_mặt vs thẻ thì_có apple_pay trên AW để dùng , nói thật_là có cái này i_Phone nó cũng có , mà nhiều khi quên đeo đồng_hồ hơn là quên mang ví hay_là điện_thoại , nhất_là đối vs 1 cái đồng_hồ phải sạc mỗi ngày như cái này , nói_chung mình thấy cũng ko thiết_thực lắm , nếu dư giả thì có_thể mua để trải_nghiệm , chứ còn bảo để dùng như 1 phần mở_rộng thì cũng đúng cũng ko , ko vì nó chưa tương_xứng vs cái giá của nó , vì bỏ ra số tiền bằng hoặc hơn 1 cái i_Phone chỉ để mở_rộng 1 số tính_năng là chưa thuyết_phục . Cá_nhân mình cũng dùng dc 2 tuần nhưng thật_sự đôi_lúc mình thấy lấy đt ra nó vẫn tiện_lợi hơn rất nhiều , ko bay nhiều như chủ thớt để xài cái boarding pass trên AW , cũng tạm_thời chưa xài dc Apple_Pay vì Canada chưa hỗ_trợ , Uber khi nào nhậu say lắm quên hết đường về mới gọi chứ cũng ko thường_xuyên , tập_thể_dục thì ít mà cũng chả theo_dõi mấy cái thông_tin đấy nhiều . Mình tự nhận là heavy_user nên thấy pin cũng hơi chán . Cái thường_xuyên nhất mình dùng chắc là Starbucks_Card	False
trừ scan thanh_toán ra thì những cái còn lại như vô_dụng , dùng smp dễ_chịu hơn , tự_dưng mang thêm cục tức trên người	False
﻿vụ này hơi chém gió . Pin của Apple_watch chỉ được 1 ngày , thưởng là phải charge qua đêm thì_sao ngủ dậy có đồng_hồ trên tay được . Hoặc là chấp_nhận ban_ngày không xài để đeo ban_đêm khi ngủ	False
﻿100% là cái này éo được ưa_chuộng ở vn từ tính_năng cho_đến ... mọi thứ . Tính_năng thì chúng_ta đã rõ , nó cũng_như nhiều sw khác chỉ hỗ_trợ tốt ở Mỹ vs một_số nước tư_bản giẫy chết khác . Về việc dùng , giang_hồ dồn tiền mua cái 6_Plus , phần_lớn đến đám đông để khoe . Dùng cái này thì khoe cái 6_plus , 6_s_plus thế quái nào được ? Không lẻ vừa nhìn đồng_hồ vừa móc điện_thoại nhìn ? ? ?	False
giá tiền cao , tiện_ích không quá nổi_trội , Pin còn yếu . = > không đáng đồng_tiền_bát_gạo . chờ nâng_cấp thêm rồi tính tiếp .	False
Thấy cái ứng_dụng vào việc đọc báo của bạn này hơi bị gượng_gạo và hài_hước . Với cái màn_hình bé_tí của aw thì việc đọc bài báo 100 từ cũng đã mệt_mỏi rồi . Đưa cái việc đọc báo ra là để cố_gắng nói cái lợi_ích của nó chứ thực_tế mình mở đt đọc cho sướng mắt chứ đọc trên cái aw làm_gì ? Bản_đồ cũng thế . Rất khó_khăn để nhìn đc và nhìn các vùng . Phải thao_tác trên phone trước rồi chuyển sang nhìn đồng_hồ . Khá rắc_rối , đc cái ko phải cầm phone coi thôi . Nói_chung là bài viết không phù_hợp ở Vietnam . Có_khi tiếng anh của bạn này chưa đủ để chém trên trang nước_ngoài nên viết tiếng việt ở đây nên dịch và chuyển qua bên Mẽo để đúng với mục_đích	False
